,Movie_Name,Released_year,Director,movie_Rating,User_voting,Movie_details_Link
191,Le salaire de la peur,1953,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",8.1,62130,/title/tt0046268/
192,Hacksaw Ridge,2016,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",8.1,530620,/title/tt2119532/
193,Salinui chueok,2003,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung",8.1,187643,/title/tt0353969/
194,Mr Smith Goes to Washington,1939,"Frank Capra (dir.), James Stewart, Jean Arthur",8.1,116768,/title/tt0031679/
195,Sherlock Jr,1924,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",8.1,51137,/title/tt0015324/
196,Relatos salvajes,2014,"Damián Szifron (dir.), Darío Grandinetti, María Marull",8.1,200568,/title/tt3011894/
197,Mad Max: Fury Road,2015,"George Miller (dir.), Tom Hardy, Charlize Theron",8.1,1007339,/title/tt1392190/
198,Det sjunde inseglet,1957,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",8.1,187097,/title/tt0050976/
199,Mary and Max,2009,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",8.1,178672,/title/tt0978762/
200,Room,2015,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",8.1,423918,/title/tt3170832/
201,How to Train Your Dragon,2010,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",8.1,744304,/title/tt0892769/
202,"Monsters, Inc",2001,"Pete Docter (dir.), Billy Crystal, John Goodman",8.1,913138,/title/tt0198781/
203,Jaws,1975,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw",8.1,610500,/title/tt0073195/
204,The Big Lebowski,1998,"Joel Coen (dir.), Jeff Bridges, John Goodman",8.1,812837,/title/tt0118715/
205,Dead Poets Society,1989,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",8.1,495503,/title/tt0097165/
206,Tôkyô monogatari,1953,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",8.1,62834,/title/tt0046438/
207,La passion de Jeanne d'Arc,1928,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",8.1,55876,/title/tt0019254/
208,Hotel Rwanda,2004,"Terry George (dir.), Don Cheadle, Sophie Okonedo",8.1,357767,/title/tt0395169/
209,Ford v Ferrari,2019,"James Mangold (dir.), Matt Damon, Christian Bale",8,398617,/title/tt1950186/
210,Rocky,1976,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",8,580523,/title/tt0075148/
211,Platoon,1986,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",8,417029,/title/tt0091763/
212,Spotlight,2015,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",8,472956,/title/tt1895587/
213,Ratatouille,2007,"Brad Bird (dir.), Brad Garrett, Lou Romano",8,742439,/title/tt0382932/
214,The Terminator,1984,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8,869451,/title/tt0088247/
215,Stand by Me,1986,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",8,407507,/title/tt0092005/
216,Logan,2017,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",8,767639,/title/tt3315342/
217,Rush,2013,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",8,482896,/title/tt1979320/
218,Network,1976,"Sidney Lumet (dir.), Faye Dunaway, William Holden",8,161093,/title/tt0074958/
219,Pather Panchali,1955,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",8,33812,/title/tt0048473/
220,Into the Wild,2007,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",8,626477,/title/tt0758758/
